Datum;Ts_in;m_s;Ts_out;I_dir;I_diff;I_glob;T_amb;rho
01.01. 00:00:00;18.9;0;18.6;0;0;0;3.7;65
01.01. 00:15:00;18.8;0;18.6;0;0;0;3.7;65
01.01. 00:30:00;18.8;0;18.5;0;0;0;3.7;65
01.01. 00:45:00;18.7;0;18.5;0;0;0;3.7;65
01.01. 01:00:00;18.7;0;18.5;0;0;0;3.4;66.8
01.01. 01:15:00;18.7;0;18.5;0;0;0;3.4;66.8
01.01. 01:30:00;18.6;0;18.4;0;0;0;3.4;66.8
01.01. 01:45:00;18.6;0;18.4;0;0;0;3.4;66.8
01.01. 02:00:00;18.6;0;18.4;0;0;0;3;65.9
01.01. 02:15:00;18.5;0;18.4;0;0;0;3;65.9
01.01. 02:30:00;18.5;0;18.4;0;0;0;3;65.9
01.01. 02:45:00;18.5;0;18.3;0;0;0;3;65.9
01.01. 03:00:00;18.5;0;18.3;0;0;0;2.8;65.8
01.01. 03:15:00;18.4;0;18.3;0;0;0;2.8;65.8
01.01. 03:30:00;18.4;0;18.3;0;0;0;2.8;65.8
01.01. 03:45:00;22.9;947;18.4;0;0;0;2.8;65.8
01.01. 04:00:00;34.5;949;25.5;0;0;0;2.6;65.3
01.01. 04:15:00;34.4;0;26.7;0;0;0;2.6;65.3
01.01. 04:30:00;33.5;0;26.2;0;0;0;2.6;65.3
01.01. 04:45:00;32.7;0;25.8;0;0;0;2.6;65.3
01.01. 05:00:00;33.5;948;21.7;0;0;0;2.4;67.5
01.01. 05:15:00;30.9;952;27.6;0;0;0;2.4;67.5
01.01. 05:30:00;30.6;0;27.3;0;0;0;2.4;67.5
01.01. 05:45:00;30.1;0;26.9;0;0;0;2.4;67.5
01.01. 06:00:00;29.6;0;26.5;0;0;0;2.3;66.6
01.01. 06:15:00;37.9;949;22.3;0;0;0;2.3;66.6
01.01. 06:30:00;33.2;951;31.9;0;0;0;2.3;66.6
01.01. 06:45:00;32.5;0;31.1;0;0;0;2.3;66.6
01.01. 07:00:00;31.8;0;30.5;0;0;0;2.1;65.5
01.01. 07:15:00;31.1;0;29.8;0;0;0;2.1;65.5
01.01. 07:30:00;33.1;952;27.3;0;0;0;2.1;65.5
01.01. 07:45:00;31.4;955;24;0;0;0;2.1;65.5
01.01. 08:00:00;33.9;949;27.9;0;5;5;2.3;67.7
01.01. 08:15:00;33.3;0;27.4;0;5;5;2.3;67.7
01.01. 08:30:00;32.6;0;26.8;0;5;5;2.3;67.7
01.01. 08:45:00;36.3;949;25.1;0;5;5;2.3;67.7
01.01. 09:00:00;32.9;948;26.3;72.2;64.7;75.6;3.5;64
01.01. 09:15:00;32.4;0;25.9;72.2;65;76;3.5;64
01.01. 09:30:00;31.7;0;25.5;72.2;65;76;3.5;64
01.01. 09:45:00;31.1;0;25.2;72.2;65;76;3.5;64
01.01. 10:00:00;30.5;0;24.8;81.8;112;133;4.6;56.1
01.01. 10:15:00;29.9;0;24.5;81.8;112;133;4.6;56.1
01.01. 10:30:00;29.3;0;24.2;81.8;112;133;4.6;56.1
01.01. 10:45:00;28.7;0;23.9;81.8;112;133;4.6;56.1
01.01. 11:00:00;28.2;0;23.6;46.8;136;151;5.3;54.7
01.01. 11:15:00;27.7;0;23.3;46.8;136;151;5.3;54.7
01.01. 11:30:00;27.2;0;23.1;46.8;136;151;5.3;54.7
01.01. 11:45:00;26.8;0;22.8;46.8;136;151;5.3;54.7
01.01. 12:00:00;26.4;0;22.6;23.4;150;158;5.8;54.4
01.01. 12:15:00;26;0;22.4;23.4;150;158;5.8;54.4
01.01. 12:30:00;25.6;0;22.2;23.4;150;158;5.8;54.4
01.01. 12:45:00;25.2;0;22;23.4;150;158;5.8;54.4
01.01. 13:00:00;24.8;0;21.8;18.8;134;140;6;53.7
01.01. 13:15:00;24.5;0;21.6;18.8;134;140;6;53.7
01.01. 13:30:00;24.2;0;21.4;18.8;134;140;6;53.7
01.01. 13:45:00;23.9;0;21.2;18.8;134;140;6;53.7
01.01. 14:00:00;23.6;0;21.1;15.7;103;107;5.9;55.6
01.01. 14:15:00;23.3;0;20.9;15.7;103;107;5.9;55.6
01.01. 14:30:00;23.1;0;20.8;15.7;103;107;5.9;55.6
01.01. 14:45:00;22.8;0;20.7;15.7;103;107;5.9;55.6
01.01. 15:00:00;22.6;0;20.5;0;53.3;53.3;5.4;60.7
01.01. 15:15:00;22.4;0;20.4;0;53;53;5.4;60.7
01.01. 15:30:00;22.2;0;20.3;0;53;53;5.4;60.7
01.01. 15:45:00;22;0;20.2;0;53;53;5.4;60.7
01.01. 16:00:00;21.8;0;20.1;0;2.3;2.3;4.7;66
01.01. 16:15:00;29.3;949;20.8;0;2;2;4.7;66
01.01. 16:30:00;34;948;26.3;0;2;2;4.7;66
01.01. 16:45:00;34;0;26.2;0;2;2;4.7;66
01.01. 17:00:00;33.2;0;25.8;0;0.01;0.01;4.6;67.9
01.01. 17:15:00;32.6;951;24.4;0;0;0;4.6;67.9
01.01. 17:30:00;31.8;953;23;0;0;0;4.6;67.9
01.01. 17:45:00;32.1;949;27.4;0;0;0;4.6;67.9
01.01. 18:00:00;31.8;0;26.9;0;0;0;4.4;68
01.01. 18:15:00;31.2;0;26.5;0;0;0;4.4;68
01.01. 18:30:00;30.6;0;26.1;0;0;0;4.4;68
01.01. 18:45:00;30.1;955;24.4;0;0;0;4.4;68
01.01. 19:00:00;30.3;958;22.2;0;0;0;4.3;69.8
01.01. 19:15:00;33.2;954;27.4;0;0;0;4.3;69.8
01.01. 19:30:00;31.8;0;27;0;0;0;4.3;69.8
01.01. 19:45:00;31.2;0;26.5;0;0;0;4.3;69.8
01.01. 20:00:00;30.6;0;26.1;0;0;0;4.1;70.6
01.01. 20:15:00;38.7;948;22.5;0;0;0;4.1;70.6
01.01. 20:30:00;32.5;948;32.4;0;0;0;4.1;70.6
01.01. 20:45:00;31.8;0;31.6;0;0;0;4.1;70.6
01.01. 21:00:00;31.2;0;30.9;0;0;0;4;69.2
01.01. 21:15:00;30.6;0;30.2;0;0;0;4;69.2
01.01. 21:30:00;30;0;29.6;0;0;0;4;69.2
01.01. 21:45:00;30.8;950;27.1;0;0;0;4;69.2
01.01. 22:00:00;32.4;953;23.2;0;0;0;3.9;64.3
01.01. 22:15:00;32.7;949;28.1;0;0;0;3.9;64.3
01.01. 22:30:00;31.9;0;27.5;0;0;0;3.9;64.3
01.01. 22:45:00;31.3;0;27;0;0;0;3.9;64.3
01.01. 23:00:00;30.6;0;26.6;0;0;0;3.7;67.4
01.01. 23:15:00;33.5;948;21.5;0;0;0;3.7;67.4
01.01. 23:30:00;30.9;952;27.7;0;0;0;3.7;67.4
01.01. 23:45:00;30.7;0;27.4;0;0;0;3.7;67.4
02.01. 00:00:00;30.2;0;27;0;0;0;3.5;83.4
02.01. 00:15:00;29.6;0;26.5;0;0;0;3.5;83.7
02.01. 00:30:00;30.6;950;25;0;0;0;3.5;83.7
02.01. 00:45:00;33.3;952;23.3;0;0;0;3.5;83.7
02.01. 01:00:00;32.9;947;28.6;0;0;0;3.8;83.7
02.01. 01:15:00;32.2;0;27.9;0;0;0;3.8;83.7
02.01. 01:30:00;31.5;0;27.4;0;0;0;3.8;83.7
02.01. 01:45:00;30.9;0;26.9;0;0;0;3.8;83.7
02.01. 02:00:00;31;953;25.5;0;0;0;3.8;83.7
02.01. 02:15:00;33.4;956;22.6;0;0;0;3.8;83.7
02.01. 02:30:00;30.7;955;27.5;0;0;0;3.8;83.7
02.01. 02:45:00;30.4;0;27.3;0;0;0;3.8;83.7
02.01. 03:00:00;29.9;0;26.8;0;0;0;3.9;83.7
02.01. 03:15:00;29.4;0;26.4;0;0;0;3.9;83.7
02.01. 03:30:00;30.4;953;24.9;0;0;0;3.9;83.7
02.01. 03:45:00;33.2;955;23.2;0;0;0;3.9;83.7
02.01. 04:00:00;33.1;950;28.5;0;0;0;3.9;83.7
02.01. 04:15:00;32.5;0;27.7;0;0;0;3.9;83.7
02.01. 04:30:00;31.8;0;27.2;0;0;0;3.9;83.7
02.01. 04:45:00;31.2;0;26.8;0;0;0;3.9;83.7
02.01. 05:00:00;32.9;948;21.3;0;0;0;3.9;83.7
02.01. 05:15:00;31.3;952;27.5;0;0;0;3.9;83.7
02.01. 05:30:00;31;0;27.2;0;0;0;3.9;83.7
02.01. 05:45:00;30.4;0;26.7;0;0;0;3.9;83.7
02.01. 06:00:00;29.9;0;26.3;0;0;0;4;83.7
02.01. 06:15:00;30.5;948;24.8;0;0;0;4;83.7
02.01. 06:30:00;32.7;950;22.9;0;0;0;4;83.7
02.01. 06:45:00;35;947;28.8;0;0;0;4;83.7
02.01. 07:00:00;34.4;0;28.2;0;0;0;4;83.7
02.01. 07:15:00;33.5;0;27.6;0;0;0;4;83.7
02.01. 07:30:00;32.8;0;27.1;0;0;0;4;83.7
02.01. 07:45:00;34;949;21.5;0;0;0;4;83.7
02.01. 08:00:00;32.7;949;29.6;0;2;2;4.2;83.7
02.01. 08:15:00;32;0;28.9;0;2;2;4.2;83.7
02.01. 08:30:00;31.3;0;28.3;0;2;2;4.2;83.7
02.01. 08:45:00;30.7;0;27.8;0;2;2;4.2;83.7
02.01. 09:00:00;31.9;948;24.4;0;45.8;45.8;5.2;79.4
02.01. 09:15:00;31.9;948;24.4;0;46;46;5.2;79.4
02.01. 09:30:00;31.3;0;24.2;0;46;46;5.2;79.4
02.01. 09:45:00;30.7;0;23.9;0;46;46;5.2;79.4
02.01. 10:00:00;30.1;0;23.6;0;74.8;74.8;6;79.4
02.01. 10:15:00;29.5;0;23.4;0;75;75;6;79.4
02.01. 10:30:00;30.7;948;22;0;75;75;6;79.4
02.01. 10:45:00;30.9;0;23.7;0;75;75;6;79.4
02.01. 11:00:00;30.4;0;23.4;0;105;105;6.8;63.3
02.01. 11:15:00;29.8;0;23.2;0;105;105;6.8;63.2
02.01. 11:30:00;29.2;0;22.9;0;105;105;6.8;63.2
02.01. 11:45:00;28.7;0;22.7;0;105;105;6.8;63.2
02.01. 12:00:00;28.2;0;22.4;2.9;122;123;7.5;60.1
02.01. 12:15:00;27.7;0;22.2;2.9;122;123;7.5;60.1
02.01. 12:30:00;27.2;0;22;2.9;122;123;7.5;60.1
